,Keyword,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Stemmed Keyword
116,internet marketing bristol,53.0,60.0,0.0,,,,digirank,2020-05-04 04:12:27,Sitelinks,internet market bristol 
117,social media marketing companies london,24.0,60.0,7.0,,,,social media agency,2020-04-19 08:24:12,"Adwords top, Sitelinks, Adwords bottom",social media market compani london 
118,how to find out if a company is still in business,10.0,60.0,,,,,company insolvency register,2020-04-19 22:21:47,People also ask,how to find out if a compani is still in busi 
119,what does entails mean,11.0,60.0,0.0,,,,entail,2020-04-17 23:44:24,"Knowledge card, People also ask",what doe entail mean 
120,lucy online free,2.0,60.0,0.0,,,,watch lucy online free,2020-04-17 19:02:30,"Knowledge card, Top stories, Thumbnails, Adwords bottom, Sitelinks",luci onlin free 
121,internet marketing company uk,48.0,60.0,,,,,digital marketing agency,2020-04-14 14:51:33,"Featured snippet, Thumbnails, Sitelinks",internet market compani uk 
122,understanding digital marketing: marketing strategies for engaging the digital generation,1.0,60.0,,,,,understanding digital marketing,2020-05-10 12:24:50,"Top stories, Thumbnails, Image pack",understand digit market : market strategi for engag the digit gener 
123,creative agency essex,26.0,60.0,2.5,,,,design agency essex,2020-05-09 03:06:27,"Adwords top, Sitelinks, Adwords bottom",creativ agenc essex 
124,hubspor,63.0,60.0,,,,,hubspot,2020-04-20 15:43:26,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack",hubspor 
125,digital media company,50.0,60.0,,,,,dms,2020-04-16 11:46:09,"People also ask, Adwords bottom, Sitelinks",digit media compani 
126,areas of marketing,17.0,60.0,0.0,,,,areas of marketing,2020-05-06 04:55:48,"Featured snippet, People also ask, Sitelinks, Image pack",area of market 
127,digital advertising agency london,47.0,60.0,8.0,,,,digital agency,2020-04-25 09:49:43,"Featured snippet, Thumbnails",digit advertis agenc london 
128,web design company nottingham,43.0,60.0,7.0,,,,web design nottingham,2020-05-05 18:07:19,"Adwords bottom, Sitelinks",web design compani nottingham 
129,coast head office london,5.0,60.0,0.8,,,,coast customer services,2020-04-15 05:26:58,,coast head offic london 
130,digital marketing methods,67.0,60.0,1.6,,,,digital marketing strategy,2020-05-07 23:24:30,"Featured snippet, Thumbnails, People also ask, Image pack",digit market method 
131,بازاریابی,8.0,60.0,,,,,بازاریابی,2020-04-19 20:56:28,Sitelinks,بازاریابی 
132,introduction to digital marketing,51.0,60.0,7.0,,,,google certification,2020-04-18 10:47:53,"Featured snippet, Top stories, Thumbnails, Sitelinks, People also ask",introduct to digit market 
133,like who what what what where,0.0,60.0,,,,,who and what and where song,2020-05-03 16:48:26,"Top stories, Thumbnails, Videos",like who what what what where 
134,elements of internet marketing,1.0,60.0,4.5,,,,elements of internet marketing,2020-05-04 14:43:40,"Featured snippet, Thumbnails, People also ask",element of internet market 
135,digital sales,0.0,60.0,0.0,20.0,0.37,1.12,digital sales,2020-05-07 11:16:51,"Featured snippet, People also ask, Top stories, Thumbnails, Image pack",digit sale 
136,how to become a digital marketer,15.0,60.0,5.0,,,,how to become a digital marketer,2020-05-09 13:35:38,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Top stories, Adwords bottom",how to becom a digit market 
137,fundamentals of digital marketing,8.0,60.0,,,,,google certification,2020-04-14 23:18:06,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnails, Image pack",fundament of digit market 
138,what are digital channels,19.0,60.0,,,,,digital marketing channels,2020-04-19 21:12:18,"Featured snippet, Thumbnails, People also ask, Top stories",what are digit channel 
139,whats the use,3.0,50.0,,,,,mac miller what's the use,2020-04-16 10:08:17,"Top stories, Thumbnails, Sitelinks",what the use 
140,online marketing campaign,48.0,50.0,7.0,,,,marketing campaign,2020-05-06 05:50:33,People also ask,onlin market campaign 
141,online marketing news,59.0,50.0,8.0,,,,marketing news,2020-05-08 16:23:15,Sitelinks,onlin market news 
142,digital media channels,33.0,50.0,,,,,digital marketing channels,2020-04-15 19:38:44,"Featured snippet, People also ask, Image pack",digit media channel 
143,see define,33.0,50.0,,,,,see meaning,2020-05-08 01:47:21,"Knowledge card, People also ask",see defin 
144,coast media,1.0,50.0,,,,,coast media,2020-04-16 18:09:18,Image pack,coast media 
145,digital marketing ipswich,28.0,50.0,0.9,,,,digital marketing ipswich,2020-05-10 10:01:10,Image pack,digit market ipswich 
146,digital transformation agency london,47.0,50.0,9.0,,,,digital transformation agency london,2020-04-20 21:59:34,Adwords bottom,digit transform agenc london 
147,design agency colchester,24.0,50.0,4.0,,,,design agency colchester,2020-05-05 10:39:08,Image pack,design agenc colchest 
148,examples of digital marketing,39.0,50.0,4.0,,,,digital marketing,2020-04-15 05:37:41,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask",exampl of digit market 
149,define used to,3.0,50.0,0.0,,,,used to definition,2020-04-30 00:40:39,"Knowledge card, People also ask",defin use to 
150,can do meaning,5.0,50.0,,,,,can do attitude,2020-04-16 21:22:53,"Knowledge card, People also ask, Top stories, Thumbnails, Image pack",can do mean 
151,it digital,7.0,50.0,,,,,it digital,2020-04-16 17:56:26,"People also ask, Top stories, Thumbnails, Image pack",it digit 
152,passion digital ltd,0.0,50.0,,,,,digital marketing agency,2020-05-09 15:42:52,"Sitelinks, Image pack",passion digit ltd 
153,what is a media company,12.0,50.0,0.0,,,,media company,2020-05-09 09:08:00,"Featured snippet, Thumbnails, People also ask, Top stories",what is a media compani 
154,marketing message definition,17.0,50.0,,,,,marketing message examples,2020-05-10 12:26:06,"Featured snippet, People also ask",market messag definit 
155,which and what,9.0,50.0,0.0,,,,which or what,2020-04-26 16:12:27,"Featured snippet, People also ask, Top stories, Thumbnails",which and what 
156,who's online,1.0,50.0,0.0,,,,who's online,2020-04-19 23:46:11,"Featured snippet, Top stories, Thumbnails",who 's onlin 
157,digital marketing technology,41.0,50.0,,,,,digital marketing technology,2020-05-03 02:14:31,"People also ask, Sitelinks",digit market technolog 
158,didgital,79.0,50.0,0.0,,,,digital spy,2020-04-19 08:00:34,"Sitelinks, People also ask, Image pack",didgit 
159,internet channels,56.0,50.0,0.15,,,,best wifi channel,2020-05-06 13:13:35,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories",internet channel 
160,definition of digital media,13.0,50.0,0.0,,,,digital media,2020-05-01 09:26:01,"Sitelinks, People also ask, Top stories, Thumbnails, Videos",definit of digit media 
161,essex traffic twitter,0.0,50.0,,,,,essex travel news,2020-05-07 02:22:09,"Tweet box, Top stories, Thumbnails, Image pack, Videos",essex traffic twitter 
162,internet description,51.0,50.0,0.0,,,,internet,2020-05-10 17:19:42,"Featured snippet, People also ask, Sitelinks, Videos",internet descript 
163,detail online,5.0,50.0,,,,,detail online,2020-05-07 13:19:17,"Sitelinks, Image pack",detail onlin 
164,digital marketing colchester,0.0,50.0,3.0,,,,digital marketing colchester,2020-04-15 08:27:47,"Adwords top, Sitelinks, Adwords bottom",digit market colchest 
165,digital world meaning,1.0,50.0,,,,,digital world meaning,2020-05-01 05:41:57,"Featured snippet, People also ask",digit world mean 
166,small world marketing,0.0,40.0,,,,,small world marketing,2020-04-28 02:51:23,"Sitelinks, Image pack",small world market 
167,what is a ',35.0,40.0,,,,,a,2020-04-18 11:10:53,"Knowledge card, Top stories, Thumbnails",what is a ' 
168,the who website,88.0,40.0,,,,,the who,2020-04-24 20:34:17,Sitelinks,the who websit 
169,now digital,5.0,40.0,0.0,,,,now digital,2020-04-24 07:03:43,"Top stories, Thumbnails",now digit 
170,space marketing,4.0,40.0,,,,,space marketing,2020-05-06 17:56:23,"Top stories, Thumbnails, Image pack",space market 
171,how of,48.0,40.0,0.0,,,,how of,2020-05-08 17:04:27,People also ask,how of 
172,online marketing solutions,2.0,40.0,5.0,,,,online marketing solutions,2020-04-15 09:20:52,"Adwords top, Sitelinks, Adwords bottom",onlin market solut 
173,the search marketing shop,0.0,40.0,25.0,,,,the search marketing shop,2020-04-19 02:19:27,"Sitelinks, Image pack",the search market shop 
174,dogital,80.0,40.0,,,,,digital,2020-05-07 21:34:12,"Sitelinks, People also ask, Image pack",dogit 
175,marketing channels examples,37.0,40.0,2.5,,,,marketing channels,2020-04-19 18:19:44,"Featured snippet, Thumbnails, People also ask, Sitelinks",market channel exampl 
176,biddable media definition,0.0,40.0,0.0,,,,biddable media,2020-04-25 15:38:07,"Featured snippet, Thumbnails",biddabl media definit 
177,what will be will be meaning,0.0,40.0,0.0,,,,what will be will be,2020-05-07 13:04:17,"Featured snippet, People also ask, Image pack, Videos",what will be will be mean 
178,define increased,30.0,40.0,,,,,increased,2020-04-30 11:12:28,"Knowledge card, People also ask",defin increas 
179,market sector definition,11.0,40.0,0.0,,,,market sector definition,2020-05-09 03:12:46,People also ask,market sector definit 
180,what does .com,5.0,40.0,,,,,what does .com,2020-04-21 04:27:13,"People also ask, Sitelinks, Top stories, Thumbnails",what doe .com 
181,social media marketing companies for small business,41.0,40.0,6.0,,,,social media marketing agency,2020-04-14 07:12:20,"Featured snippet, Sitelinks",social media market compani for small busi 
182,interactive media examples,9.0,40.0,1.3,,,,interactive media,2020-04-19 11:45:53,"Featured snippet, People also ask, Top stories, Thumbnails, Videos",interact media exampl 
183,go umbrella time online,5.0,40.0,11.0,,,,go umbrella time online,2020-05-07 09:55:25,Adwords top,go umbrella time onlin 
184,ccoast,42.0,40.0,0.2,,,,coast,2020-04-22 03:22:21,"Sitelinks, People also ask, Image pack",ccoast 
185,media industry definition,3.0,40.0,,,,,media industry,2020-05-10 16:45:31,People also ask,media industri definit 
186,coast to coast ipswich menu,0.0,40.0,,,,,coast to coast ipswich,2020-05-07 20:14:22,"Sitelinks, Image pack",coast to coast ipswich menu 
187,coast digital colchester,0.0,40.0,,,,,digital marketing agency,2020-05-03 15:27:03,Sitelinks,coast digit colchest 
188,digital space definition,8.0,40.0,0.0,,,,digital space definition,2020-04-22 05:03:43,"Featured snippet, People also ask",digit space definit 
189,internet marketing strategy,65.0,40.0,9.0,,,,strategy internet marketing,2020-04-15 02:06:14,"Featured snippet, Thumbnails, Top stories, Image pack",internet market strategi 
190,define: business,64.0,40.0,,,,,business definition,2020-04-16 08:11:14,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails, Image pack",defin : busi 
191,online service definition,1.0,40.0,,,,,what is online services,2020-04-29 22:12:56,"People also ask, Sitelinks",onlin servic definit 
192,content marketing agencies london,31.0,40.0,,,,,content agency london,2020-05-04 11:14:13,"Adwords top, Sitelinks, Adwords bottom",content market agenc london 
